 fixture_id | league_id | season |        date_utc        | status_short | home_team_id | away_team_id 
    1180636 |        71 |   2024 | 2024-10-05 19:30:00+00 | FT           |         1062 |          136
    1180641 |        71 |   2024 | 2024-10-05 19:30:00+00 | FT           |          794 |          121
    1180642 |        71 |   2024 | 2024-10-05 19:30:00+00 | FT           |          134 |          120
    1180637 |        71 |   2024 | 2024-10-05 22:00:00+00 | FT           |          118 |          127
    1180640 |        71 |   2024 | 2024-10-05 22:00:00+00 | FT           |          131 |          119
    1180643 |        71 |   2024 | 2024-10-05 22:00:00+00 | FT           |         1193 |          126
    1180639 |        71 |   2024 | 2024-10-06 00:00:00+00 | FT           |          133 |          152
    1180406 |        71 |   2024 | 2024-10-09 22:30:00+00 | FT           |         1062 |          130
    1180651 |        71 |   2024 | 2024-10-17 00:45:00+00 | FT           |          126 |          133
    1180652 |        71 |   2024 | 2024-10-17 00:45:00+00 | FT           |          154 |         1062
    1180648 |        71 |   2024 | 2024-10-17 23:00:00+00 | FT           |          127 |          124
    1180650 |        71 |   2024 | 2024-10-17 23:00:00+00 | FT           |          131 |          134
    1180653 |        71 |   2024 | 2024-10-18 22:00:00+00 | FT           |          144 |         1193
    1180649 |        71 |   2024 | 2024-10-18 23:00:00+00 | FT           |          120 |          140
    1180646 |        71 |   2024 | 2024-10-19 00:30:00+00 | FT           |          135 |          118
    1180645 |        71 |   2024 | 2024-10-19 19:00:00+00 | FT           |          119 |          130
    1180647 |        71 |   2024 | 2024-10-19 19:00:00+00 | FT           |          136 |          794
    1180654 |        71 |   2024 | 2024-10-20 23:00:00+00 | FT           |          152 |          121
    1180518 |        71 |   2024 | 2024-10-22 22:30:00+00 | FT           |          124 |          134
    1180539 |        71 |   2024 | 2024-10-25 22:00:00+00 | FT           |          133 |         1193
    1180655 |        71 |   2024 | 2024-10-26 19:30:00+00 | FT           |          130 |          144
    1180657 |        71 |   2024 | 2024-10-26 19:30:00+00 | FT           |          136 |          124
    1180658 |        71 |   2024 | 2024-10-26 19:30:00+00 | FT           |          127 |          152
    1180660 |        71 |   2024 | 2024-10-26 19:30:00+00 | FT           |          121 |          154
    1180662 |        71 |   2024 | 2024-10-26 21:30:00+00 | FT           |          134 |          135
    1180656 |        71 |   2024 | 2024-10-26 23:00:00+00 | FT           |         1062 |          119
    1180661 |        71 |   2024 | 2024-10-26 23:00:00+00 | FT           |          794 |          120
    1180664 |        71 |   2024 | 2024-10-27 01:00:00+00 | FT           |          140 |          126
    1180663 |        71 |   2024 | 2024-10-28 22:00:00+00 | FT           |         1193 |          131
    1180659 |        71 |   2024 | 2024-10-29 00:00:00+00 | FT           |          133 |          118
    1180515 |        71 |   2024 | 2024-10-30 22:00:00+00 | FT           |          119 |          127
    1180668 |        71 |   2024 | 2024-11-02 00:00:00+00 | FT           |          124 |          130
    1180671 |        71 |   2024 | 2024-11-02 19:00:00+00 | FT           |          794 |         1193
    1180672 |        71 |   2024 | 2024-11-02 21:30:00+00 | FT           |          134 |          136
    1180674 |        71 |   2024 | 2024-11-02 21:30:00+00 | FT           |          152 |          154
    1180670 |        71 |   2024 | 2024-11-04 23:00:00+00 | FT           |          131 |          121
    1180665 |        71 |   2024 | 2024-11-06 00:30:00+00 | FT           |          119 |          140
    1180667 |        71 |   2024 | 2024-11-06 00:30:00+00 | FT           |          118 |          126
    1180669 |        71 |   2024 | 2024-11-06 00:30:00+00 | FT           |          120 |          133
    1180666 |        71 |   2024 | 2024-11-07 00:00:00+00 | FT           |          135 |          127
    1180673 |        71 |   2024 | 2024-11-07 00:00:00+00 | FT           |          144 |         1062
